antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,kulczynski,zhangs_metric,jaccard,certainty
Other Vegetables,Beans,0.4300713985720286,0.39717205655886884,0.24415511689766203,0.5677083333333333,1.4293763218188225,0.07334277505966047,1.3944935559120142,0.5912211035718482,0.5270733471702959,0.4187274909963985,0.2828937819321875
Beans,Other Vegetables,0.39717205655886884,0.4300713985720286,0.24415511689766203,0.614733873810363,1.4293763218188227,0.07334277505966047,1.479311475069675,0.5912211035718482,0.4983083131282569,0.4187274909963985,0.32400984048819037
Root Vegetables,Beans,0.4232115357692846,0.39717205655886884,0.2384152316953661,0.5633476678795899,1.4183970361874905,0.07032743567444205,1.380567328047379,0.5818148279475497,0.5114158908607882,0.40967043541015147,0.27566010024707627
Beans,Root Vegetables,0.39717205655886884,0.4232115357692846,0.2384152316953661,0.6002819880155094,1.4183970361874905,0.07032743567444205,1.4429884241821338,0.5818148279475497,0.4893250047251387,0.40967043541015147,0.30699374766863674
Root Vegetables,Other Vegetables,0.4232115357692846,0.4300713985720286,0.24597508049839004,0.5812107178299702,1.351428436673007,0.0639639034182777,1.3608958626514673,0.5765754109983184,0.4508450248934912,0.405025357307515,0.26518991831478195
Other Vegetables,Root Vegetables,0.4300713985720286,0.4232115357692846,0.24597508049839004,0.5719401041666666,1.351428436673007,0.0639639034182777,1.3474480320279525,0.5765754109983184,0.4562715555296447,0.405025357307515,0.25785635050060673
Other Vegetables,Gourd & Cucumber,0.4300713985720286,0.3009939801203976,0.19571608567828644,0.455078125,1.5119176962209304,0.06626718368614568,1.2827637354062955,0.5526553415697675,0.5940890397167023,0.36558577405857745,0.22043321587722814
Gourd & Cucumber,Other Vegetables,0.3009939801203976,0.4300713985720286,0.19571608567828644,0.650232558139535,1.5119176962209304,0.06626718368614568,1.6294501237634824,0.5526553415697675,0.4843854357473853,0.36558577405857745,0.3862960360576512
Beans,Gourd & Cucumber,0.39717205655886884,0.3009939801203976,0.18255634887302255,0.4596404652802256,1.5270752760449544,0.06300995077676497,1.2935943107621868,0.5330760465936012,0.5725571253123762,0.3540591908770025,0.2269601128573306
Gourd & Cucumber,Beans,0.3009939801203976,0.39717205655886884,0.18255634887302255,0.6065116279069768,1.5270752760449542,0.06300995077676497,1.532009548934317,0.5330760465936012,0.49377748479773537,0.3540591908770025,0.34726255414294815
